YearStart,Topic,DataValue,GeoLocation
2014,Diabetes,82.8,"(43.65595011300047, -71.50036091999965)"
2013,Diabetes,82.8,"(40.644188, -111.952249)"
2014,Diabetes,82.8,"(47.52227862900048, -120.47001078999972)"
2010,Chronic Obstructive Pulmonary Disease,84.6,"(39.29058096400047, -76.60926011099963)"
2013,Chronic Obstructive Pulmonary Disease,84.6,"(40.13057004800049, -74.27369128799967)"
2013,Chronic Obstructive Pulmonary Disease,84.6,"(37.63864012300047, -120.99999953799971)"
2014,Chronic Obstructive Pulmonary Disease,86.6,"(47.47531977900047, -100.11842104899966)"
2011,Chronic Obstructive Pulmonary Disease,86.6,"(21.304850435000446, -157.85774940299973)"
2010,Cardiovascular Disease,86.6,"(32.84057112200048, -86.63186076199969)"
2010,Cardiovascular Disease,89.1,"(47.06652897200047, -109.42442064499971)"
2013,Cardiovascular Disease,89.1,"(39.008830667000495, -75.57774116799965)"
2013,Cardiovascular Disease,89.1,"(39.360700171000474, -111.58713063499971)"
2013,Cardiovascular Disease,92.9,"(40.48501028300046, -88.99771017799969)"
2013,Cardiovascular Disease,92.9,"(31.31266064400046, -92.44568007099969)"
2011,Cardiovascular Disease,92.9,"(37.54268067400045, -78.45789046299967)"
2011,Chronic Obstructive Pulmonary Disease,97.5,"(40.48501028300046, -88.99771017799969)"
2014,Chronic Obstructive Pulmonary Disease,97.5,"(47.52227862900048, -120.47001078999972)"
2014,Cardiovascular Disease,97.5,"(41.56266102000046, -72.64984095199964)"
